crediting_cap_rate,crediting_cap_rate_percent,method,risk_metric,source_field,unit,adverse_direction,value,baseline_rate,baseline_value,delta_vs_baseline,finite_difference_scheme,finite_difference_lower_cap_rate,finite_difference_upper_cap_rate,finite_difference_span_bp,finite_difference_change_per_100bp,finite_difference_change_per_100bp_percentage_points,finite_difference_change_per_100bp_as_percent_of_premium,adverse_finite_difference_change_per_100bp,finite_difference_change_as_fraction_of_current_value
0.0025,0.25,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,246411.57111267265,0.06,303121.47862261155,-56709.9075099389,forward_secant,0.0025,0.005,25.0,10212.006733327988,,3.190440236825981,,0.041442886335311374
0.005,0.5,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,248964.57279600465,0.06,303121.47862261155,-54156.905826606904,bracketing_secant,0.0025,0.01,75.0,10300.743871425784,,3.218163537767806,,0.04137433593761132
0.01,1.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,254137.129016242,0.06,303121.47862261155,-48984.349606369564,bracketing_secant,0.005,0.02,150.0,10351.761646372888,,3.234102536461702,,0.04073297627325956
0.02,2.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,264492.215265564,0.06,303121.47862261155,-38629.263357047574,bracketing_secant,0.01,0.04,300.0,10272.949816157809,,3.2094801051588058,,0.03884027288229724
0.04,4.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,284955.9784647154,0.06,303121.47862261155,-18165.50015789614,bracketing_secant,0.02,0.06,399.99999999999994,9657.315839261895,,3.017143431051872,,0.03389055352091063
0.06,6.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,303121.47862261155,0.06,303121.47862261155,0.0,bracketing_secant,0.04,0.08,400.0,8086.05524713645,,2.5262494131997753,,0.026675956068436996
0.08,8.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,317300.1994532612,0.06,303121.47862261155,14178.720830649661,bracketing_secant,0.06,0.12,600.0,4853.983720422597,,1.5164840148404102,,0.015297764479147753
0.12,12.0,dynamic,pv_policyholder_benefits_aud,dynamic_pv_policyholder_benefits_aud,AUD,diagnostic,332245.38094514713,0.06,303121.47862261155,29123.902322535578,backward_secant,0.08,0.12,399.99999999999994,3736.2953729714795,,1.1672952638869052,,0.011245590118793352
0.0025,0.25,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,7721.38814612613,0.06,9566.881774501006,-1845.4936283748757,forward_secant,0.0025,0.005,25.0,351.8125514100684,,0.10991345277671011,,0.04556338118898673
0.005,0.5,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,7809.341283978647,0.06,9566.881774501006,-1757.5404905223586,bracketing_secant,0.0025,0.01,75.0,348.2633349569563,,0.10880460480227057,,0.04459573762916987
0.01,1.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,7982.585647343847,0.06,9566.881774501006,-1584.2961271571585,bracketing_secant,0.005,0.02,150.0,353.1979506603409,,0.11034627990144286,,0.04424605839059994
0.02,2.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,8339.138209969158,0.06,9566.881774501006,-1227.7435645318474,bracketing_secant,0.01,0.04,300.0,336.4289515771119,,0.10510730084438571,,0.040343371593832375
0.04,4.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,8991.872502075183,0.06,9566.881774501006,-575.0092724258229,bracketing_secant,0.02,0.06,399.99999999999994,306.9358911329619,,0.09589306419087228,,0.03413481352878679
0.06,6.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,9566.881774501006,0.06,9566.881774501006,0.0,bracketing_secant,0.04,0.08,400.0,250.93576614839958,,0.07839747721334524,,0.026229629681139028
0.08,8.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,9995.615566668781,0.06,9566.881774501006,428.7337921677754,bracketing_secant,0.06,0.12,600.0,146.6308771443343,,0.04581049176902712,,0.014669519467444034
0.12,12.0,dynamic,pv_policyholder_benefits_pre_election_aud,dynamic_pv_policyholder_benefits_pre_election_aud,AUD,diagnostic,10446.667037367011,0.06,9566.881774501006,879.7852628660057,backward_secant,0.08,0.12,399.99999999999994,112.7628676745576,,0.035229431358938135,,0.01079414776705456
0.0025,0.25,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,238690.18296654648,0.06,293554.5968481106,-54864.413881564134,forward_secant,0.0025,0.005,25.0,9860.19418191805,,3.080526784049312,,0.04130959245734879
0.005,0.5,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,241155.231512026,0.06,293554.5968481106,-52399.36533608462,bracketing_secant,0.0025,0.01,75.0,9952.48053646891,,3.109358932965561,,0.04127001713405747
0.01,1.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,246154.54336889816,0.06,293554.5968481106,-47400.05347921245,bracketing_secant,0.005,0.02,150.0,9998.563695712559,,3.123756256560263,,0.04061904996296683
0.02,2.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,256153.07705559483,0.06,293554.5968481106,-37401.519792515785,bracketing_secant,0.01,0.04,300.0,9936.5208645807,,3.104372804314421,,0.03879133906489869
0.04,4.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,275964.10596264026,0.06,293554.5968481106,-17590.490885470354,bracketing_secant,0.02,0.06,399.99999999999994,9350.379948128948,,2.9212503668610044,,0.033882594678435435
0.06,6.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,293554.5968481106,0.06,293554.5968481106,0.0,bracketing_secant,0.04,0.08,400.0,7835.119480988025,,2.447851935986422,,0.026690501750316755
0.08,8.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,307304.58388659236,0.06,293554.5968481106,13749.987038481748,bracketing_secant,0.06,0.12,600.0,4707.352843278253,,1.47067352307138,,0.015318199239798694
0.12,12.0,dynamic,pv_policyholder_benefits_post_election_aud,dynamic_pv_policyholder_benefits_post_election_aud,AUD,diagnostic,321798.7139077801,0.06,293554.5968481106,28244.117059669516,backward_secant,0.08,0.12,399.99999999999994,3623.5325052969424,,1.1320658325279735,,0.011260245453732177
0.0025,0.25,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,71174.44906389539,0.06,59505.269676857504,11669.179387037882,forward_secant,0.0025,0.005,25.0,-1306.7425185043248,,-0.4082531493639993,-1306.7425185043248,-0.018359713853650258
0.005,0.5,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,70847.7634342693,0.06,59505.269676857504,11342.493757411801,bracketing_secant,0.0025,0.01,75.0,-1347.054132398412,,-0.42084732388205465,-1347.054132398412,-0.019013361425984514
0.01,1.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,70164.15846459658,0.06,59505.269676857504,10658.888787739073,bracketing_secant,0.005,0.02,150.0,-1543.9802014842476,,-0.4823710646019819,-1543.9802014842476,-0.022005255037204057
0.02,2.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,68531.79313204293,0.06,59505.269676857504,9026.52345518543,bracketing_secant,0.01,0.04,300.0,-1912.3214740541807,,-0.597448428687094,-1912.3214740541807,-0.02790415056511997
0.04,4.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,64427.194042434036,0.06,59505.269676857504,4921.924365576531,bracketing_secant,0.02,0.06,399.99999999999994,-2256.630863796358,,-0.7050177399533482,-2256.630863796358,-0.035026061546465315
0.06,6.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,59505.269676857504,0.06,59505.269676857504,0.0,bracketing_secant,0.04,0.08,400.0,-2425.687835340432,,-0.7578346033196715,-2425.687835340432,-0.04076425245214574
0.08,8.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,54724.44270107231,0.06,59505.269676857504,-4780.826975785196,bracketing_secant,0.06,0.12,600.0,-1838.0259629562,,-0.5742369880552584,-1838.0259629562,-0.033586928842679366
0.12,12.0,dynamic,pv_guarantee_claims_aud,dynamic_pv_guarantee_claims_aud,AUD,higher_is_adverse,48477.113899120304,0.06,59505.269676857504,-11028.1557777372,backward_secant,0.08,0.12,399.99999999999994,-1561.8322004880015,,-0.48794839503435156,-1561.8322004880015,-0.03221792872690681
0.0025,0.25,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,44815.348495841215,0.06,24831.213517888347,19984.13497795287,forward_secant,0.0025,0.005,25.0,-2687.3197332720156,,-0.8395737713593743,-2687.3197332720156,-0.05996427169413609
0.005,0.5,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,44143.51856252321,0.06,24831.213517888347,19312.305044634864,bracketing_secant,0.0025,0.01,75.0,-2746.900656151818,,-0.8581880730012417,-2746.900656151818,-0.06222659057549325
0.01,1.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,42755.17300372735,0.06,24831.213517888347,17923.959485839005,bracketing_secant,0.005,0.02,150.0,-2985.7876949212614,,-0.9328212807975962,-2985.7876949212614,-0.06983453662229278
0.02,2.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,39664.83702014132,0.06,24831.213517888347,14833.623502252973,bracketing_secant,0.01,0.04,300.0,-3389.24238804007,,-1.0588687972432733,-3389.24238804007,-0.08544702670324988
0.04,4.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,32587.445839607142,0.06,24831.213517888347,7756.232321718795,bracketing_secant,0.02,0.06,399.99999999999994,-3708.4058755632436,,-1.158582013196843,-3708.4058755632436,-0.11379860495405891
0.06,6.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,24831.213517888347,0.06,24831.213517888347,0.0,bracketing_secant,0.04,0.08,400.0,-3720.6176858948893,,-1.1623972330712498,-3720.6176858948893,-0.14983632125810384
0.08,8.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,17704.975096027585,0.06,24831.213517888347,-7126.238421860762,bracketing_secant,0.06,0.12,600.0,-2670.7675418237127,,-0.8344025274517527,-2670.7675418237127,-0.15084842126792627
0.12,12.0,dynamic,guarantee_value_aud,dynamic_guarantee_value_aud,AUD,higher_is_adverse,8806.608266946074,0.06,24831.213517888347,-16024.605250942273,backward_secant,0.08,0.12,399.99999999999994,-2224.5917072703783,,-0.6950080506920937,-2224.5917072703783,-0.25260482127040434
0.0025,0.25,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,33235.38767276395,0.06,43719.46211348285,-10484.074440718898,forward_secant,0.0025,0.005,25.0,1740.7277925331728,,0.5438390451246025,-1740.7277925331728,0.052375733049134274
0.005,0.5,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,33670.569620897244,0.06,43719.46211348285,-10048.892492585604,bracketing_secant,0.0025,0.01,75.0,1765.0238777760437,,0.5514296401937606,-1765.0238777760437,0.052420374756018455
0.01,1.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,34559.15558109598,0.06,43719.46211348285,-9160.306532386865,bracketing_secant,0.005,0.02,150.0,1817.931187377103,,0.5679589682466436,-1817.931187377103,0.052603460842993506
0.02,2.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,36397.4664019629,0.06,43719.46211348285,-7321.99571151995,bracketing_secant,0.01,0.04,300.0,1862.2046306778602,,0.5817908994838783,-1862.2046306778602,0.05116302904472033
0.04,4.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,40145.76947312956,0.06,43719.46211348285,-3573.6926403532852,bracketing_secant,0.02,0.06,399.99999999999994,1830.4989278799878,,0.5718853880026679,-1830.4989278799878,0.04559630944688158
0.06,6.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,43719.46211348285,0.06,43719.46211348285,0.0,bracketing_secant,0.04,0.08,400.0,1632.7376376556203,,0.5101007070780771,-1632.7376376556203,0.03734578512008026
0.08,8.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,46676.720023752045,0.06,43719.46211348285,2957.257910269196,bracketing_secant,0.06,0.12,600.0,1049.9785124851248,,0.32803481054340605,-1049.9785124851248,0.022494693542108996
0.12,12.0,dynamic,pv_future_fees_aud,dynamic_pv_future_fees_aud,AUD,lower_is_adverse,50019.3331883936,0.06,43719.46211348285,6299.871074910749,backward_secant,0.08,0.12,399.99999999999994,835.6532911603882,,0.2610752180032401,-835.6532911603882,0.016706605983989643
0.0025,0.25,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,110680.18978879543,0.06,149575.52791073784,-38895.33812194242,forward_secant,0.0025,0.005,25.0,6364.891375409614,,1.9885225379709202,-6364.891375409614,0.057507051510802126
0.005,0.5,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,112271.41263264783,0.06,149575.52791073784,-37304.115278090016,bracketing_secant,0.0025,0.01,75.0,6441.612508145783,,2.012491792524728,-6441.612508145783,0.05737535813522491
0.01,1.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,115511.39916990476,0.06,149575.52791073784,-34064.12874083308,bracketing_secant,0.005,0.02,150.0,6665.208281660638,,2.0823476956037834,-6665.208281660638,0.05770173618845044
0.02,2.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,122269.22505513878,0.06,149575.52791073784,-27306.30285559906,bracketing_secant,0.01,0.04,300.0,6884.287872872743,,2.150792650755385,-6884.287872872743,0.0563043388045372
0.04,4.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,136164.262788523,0.06,149575.52791073784,-13411.265122214856,bracketing_secant,0.02,0.06,399.99999999999994,6826.575713899767,,2.1327621892653275,-6826.575713899767,0.050134856048845475
0.06,6.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,149575.52791073784,0.06,149575.52791073784,0.0,bracketing_secant,0.04,0.08,400.0,6165.360393447263,,1.9261849690709216,-6165.360393447263,0.041219044850214825
0.08,8.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,160825.70436231204,0.06,149575.52791073784,11250.176451574196,bracketing_secant,0.06,0.12,600.0,4035.1519853481786,,1.2606641957792362,-4035.1519853481786,0.025090218017995995
0.12,12.0,dynamic,pv_crediting_margin_aud,dynamic_pv_crediting_margin_aud,AUD,lower_is_adverse,173786.4398228269,0.06,149575.52791073784,24210.91191208907,backward_secant,0.08,0.12,399.99999999999994,3240.1838651287185,,1.0122998591729355,-3240.1838651287185,0.018644629974766992
0.0025,0.25,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,110680.18978879543,0.06,149575.52791073784,-38895.33812194242,forward_secant,0.0025,0.005,25.0,6364.891375409614,,1.9885225379709202,-6364.891375409614,0.057507051510802126
0.005,0.5,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,112271.41263264783,0.06,149575.52791073784,-37304.115278090016,bracketing_secant,0.0025,0.01,75.0,6441.612508145783,,2.012491792524728,-6441.612508145783,0.05737535813522491
0.01,1.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,115511.39916990476,0.06,149575.52791073784,-34064.12874083308,bracketing_secant,0.005,0.02,150.0,6665.208281660638,,2.0823476956037834,-6665.208281660638,0.05770173618845044
0.02,2.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,122269.22505513878,0.06,149575.52791073784,-27306.30285559906,bracketing_secant,0.01,0.04,300.0,6884.287872872743,,2.150792650755385,-6884.287872872743,0.0563043388045372
0.04,4.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,136164.262788523,0.06,149575.52791073784,-13411.265122214856,bracketing_secant,0.02,0.06,399.99999999999994,6826.575713899767,,2.1327621892653275,-6826.575713899767,0.050134856048845475
0.06,6.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,149575.52791073784,0.06,149575.52791073784,0.0,bracketing_secant,0.04,0.08,400.0,6165.360393447263,,1.9261849690709216,-6165.360393447263,0.041219044850214825
0.08,8.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,160825.70436231204,0.06,149575.52791073784,11250.176451574196,bracketing_secant,0.06,0.12,600.0,4035.1519853481786,,1.2606641957792362,-4035.1519853481786,0.025090218017995995
0.12,12.0,dynamic,pv_money_market_income_aud,dynamic_pv_money_market_income_aud,AUD,lower_is_adverse,173786.4398228269,0.06,149575.52791073784,24210.91191208907,backward_secant,0.08,0.12,399.99999999999994,3240.1838651287185,,1.0122998591729355,-3240.1838651287185,0.018644629974766992
0.0025,0.25,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,forward_secant,0.0025,0.005,25.0,0.0,,0.0,-0.0,
0.005,0.5,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.0025,0.01,75.0,0.0,,0.0,-0.0,
0.01,1.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.005,0.02,150.0,0.0,,0.0,-0.0,
0.02,2.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.01,0.04,300.0,0.0,,0.0,-0.0,
0.04,4.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.02,0.06,399.99999999999994,0.0,,0.0,-0.0,
0.06,6.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.04,0.08,400.0,0.0,,0.0,-0.0,
0.08,8.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,bracketing_secant,0.06,0.12,600.0,0.0,,0.0,-0.0,
0.12,12.0,dynamic,pv_hedge_gain_aud,dynamic_pv_hedge_gain_aud,AUD,lower_is_adverse,0.0,0.06,0.0,0.0,backward_secant,0.08,0.12,399.99999999999994,0.0,,0.0,-0.0,
0.0025,0.25,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,19057.4972282017,0.06,21912.011603995943,-2854.5143757942424,forward_secant,0.0025,0.005,25.0,567.9385224187281,,0.1774356364312444,,0.029801317330288273
0.005,0.5,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,19199.481858806383,0.06,21912.011603995943,-2712.5297451895603,bracketing_secant,0.0025,0.01,75.0,558.8717914925462,,0.17460300383328897,,0.029108691349199297
0.01,1.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,19476.65107182111,0.06,21912.011603995943,-2435.3605321748328,bracketing_secant,0.005,0.02,150.0,563.103904758711,,0.17592520277065465,,0.028911741689176318
0.02,2.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,20044.13771594445,0.06,21912.011603995943,-1867.8738880514939,bracketing_secant,0.01,0.04,300.0,526.8887962221161,,0.16461086049950355,,0.026286428665025258
0.04,4.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,21057.31746048746,0.06,21912.011603995943,-854.6941435084846,bracketing_secant,0.02,0.06,399.99999999999994,466.9684720128735,,0.14589052292501742,,0.022176066485634093
0.06,6.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,21912.011603995943,0.06,21912.011603995943,0.0,bracketing_secant,0.04,0.08,400.0,368.23075119327405,,0.11504283494149413,,0.016804972443795273
0.08,8.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,22530.240465260555,0.06,21912.011603995943,618.2288612646116,bracketing_secant,0.06,0.12,600.0,204.3428472138882,,0.06384089424178348,,0.009069714436868308
0.12,12.0,dynamic,pv_growth_fees_aud,dynamic_pv_growth_fees_aud,AUD,diagnostic,23138.068687279272,0.06,21912.011603995943,1226.0570832833291,backward_secant,0.08,0.12,399.99999999999994,151.9570555046794,,0.04747449906877741,,0.00656740446052101
0.0025,0.25,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,61381.515897381316,0.06,71374.61158192267,-9993.095684541353,forward_secant,0.0025,0.005,25.0,1982.494514785678,,0.6193719250709665,,0.03229790737165968
0.005,0.5,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,61877.139526077735,0.06,71374.61158192267,-9497.472055844933,bracketing_secant,0.0025,0.01,75.0,1956.7328541861693,,0.6113234542179374,,0.03162287185821698
0.01,1.0,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,62849.06553802094,0.06,71374.61158192267,-8525.546043901726,bracketing_secant,0.005,0.02,150.0,1972.2559412007008,,0.6161731848050981,,0.031380831589414356
0.02,2.0,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,64835.523437878786,0.06,71374.61158192267,-6539.0881440438825,bracketing_secant,0.01,0.04,300.0,1844.6767527573465,,0.5763148311219888,,0.02845163661746013
0.04,4.0,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,68383.09579629298,0.06,71374.61158192267,-2991.5157856296864,bracketing_secant,0.02,0.06,399.99999999999994,1634.7720360109709,,0.5107362948269042,,0.02390608405446878
0.06,6.0,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,71374.61158192267,0.06,71374.61158192267,0.0,bracketing_secant,0.04,0.08,400.0,1292.9082640475317,,0.403931044686826,,0.018114400000111407
0.08,8.0,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,73554.72885248311,0.06,71374.61158192267,2180.1172705604404,bracketing_secant,0.06,0.12,600.0,725.6764697490653,,0.22671620460739172,,0.009865803070315681
0.12,12.0,dynamic,pv_growth_crediting_margin_aud,dynamic_pv_growth_crediting_margin_aud,AUD,diagnostic,75728.67040041706,0.06,71374.61158192267,4354.058818494392,backward_secant,0.08,0.12,399.99999999999994,543.485386983488,,0.16979597566265808,,0.007176745400517355
0.0025,0.25,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,71174.44906389539,0.06,59505.269676857504,11669.179387037882,forward_secant,0.0025,0.005,25.0,-1306.7425185043248,,-0.4082531493639993,-1306.7425185043248,-0.018359713853650258
0.005,0.5,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,70847.7634342693,0.06,59505.269676857504,11342.493757411801,bracketing_secant,0.0025,0.01,75.0,-1347.054132398412,,-0.42084732388205465,-1347.054132398412,-0.019013361425984514
0.01,1.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,70164.15846459658,0.06,59505.269676857504,10658.888787739073,bracketing_secant,0.005,0.02,150.0,-1543.9802014842476,,-0.4823710646019819,-1543.9802014842476,-0.022005255037204057
0.02,2.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,68531.79313204293,0.06,59505.269676857504,9026.52345518543,bracketing_secant,0.01,0.04,300.0,-1912.3214740541807,,-0.597448428687094,-1912.3214740541807,-0.02790415056511997
0.04,4.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,64427.194042434036,0.06,59505.269676857504,4921.924365576531,bracketing_secant,0.02,0.06,399.99999999999994,-2256.630863796358,,-0.7050177399533482,-2256.630863796358,-0.035026061546465315
0.06,6.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,59505.269676857504,0.06,59505.269676857504,0.0,bracketing_secant,0.04,0.08,400.0,-2425.687835340432,,-0.7578346033196715,-2425.687835340432,-0.04076425245214574
0.08,8.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,54724.44270107231,0.06,59505.269676857504,-4780.826975785196,bracketing_secant,0.06,0.12,600.0,-1838.0259629562,,-0.5742369880552584,-1838.0259629562,-0.033586928842679366
0.12,12.0,dynamic,pv_post_election_guarantee_claims_aud,dynamic_pv_post_election_guarantee_claims_aud,AUD,higher_is_adverse,48477.113899120304,0.06,59505.269676857504,-11028.1557777372,backward_secant,0.08,0.12,399.99999999999994,-1561.8322004880015,,-0.48794839503435156,-1561.8322004880015,-0.03221792872690681
0.0025,0.25,dynamic,pv_expenses_aud,dynamic_pv_expenses_aud,AUD,higher_is_adverse,8944.084789241857,0.06,9414.704608818587,-470.61981957673015,forward_secant,0.0025,0.005,25.0,78.24210626444983,,0.024444437862093354,78.24210626444983,0.008747916428359575
0.005,0.5,dynamic,pv_expenses_aud,dynamic_pv_expenses_aud,AUD,higher_is_adverse,8963.64531580797,0.06,9414.704608818587,-451.0592930106177,bracketing_secant,0.0025,0.01,75.0,79.12384470290272,,0.024719911024798508,79.12384470290272,0.008827194954196
0.01,1.0,dynamic,pv_expenses_aud,dynamic_pv_expenses_aud,AUD,higher_is_adverse,9003.427672769034,0.06,9414.704608818587,-411.2769360495531,bracketing_secant,0.005,0.02,150.0,81.66957983606699,,0.025515250864777437,81.66957983606699,0.00907094306794706
